id,company_name,report_name,report_number,period_number,quarter_name,trich_yeu,time_sent,A - TÀI S?N NG?N H?N,I. Ti?n và các kho?n t??ng ???ng ti?n,1. Ti?n,2. Các kho?n t??ng ???ng ti?n,II. ??u t? tài chính ng?n h?n,1. Ch?ng khoán kinh doanh,2. D? phòng gi?m giá ch?ng khoán kinh doanh (*),3. ??u t? n?m gi? ??n ngày ?áo h?n,III. Các kho?n ph?i thu ng?n h?n,1. Ph?i thu ng?n h?n c?a khách hàng,2. Tr? tr??c cho ng??i bán ng?n h?n,3. Ph?i thu n?i b? ng?n h?n,4. Ph?i thu theo ti?n ?? k? ho?ch h?p ??ng xây d?ng,5. Ph?i thu v? cho vay ng?n h?n,6. Ph?i thu ng?n h?n khác,7. D? phòng ph?i thu ng?n h?n khó ?òi (*),8. Tài s?n thi?u ch? x? lý,IV. Hàng t?n kho,1. Hàng t?n kho,2. D? phòng gi?m giá hàng t?n kho (*),V. Tài s?n ng?n h?n khác,1. Chi phí tr? tr??c ng?n h?n,2. Thu? GTGT ???c kh?u tr?,3. Thu? và các kho?n khác ph?i thu Nhà n??c,4. Giao d?ch mua bán l?i trái phi?u Chính ph?,5. Tài s?n ng?n h?n khác,B - TÀI S?N DÀI H?N,I. Các kho?n ph?i thu dài h?n,1. Ph?i thu dài h?n c?a khách hàng,2. Tr? tr??c cho ng??i bán dài h?n,3. V?n kinh doanh ? ??n v? tr?c thu?c,4. Ph?i thu n?i b? dài h?n,5. Ph?i thu v? cho vay dài h?n,6. Ph?i thu dài h?n khác,7. D? phòng ph?i thu dài h?n khó ?òi (*),II. Tài s?n c? ??nh,1. Tài s?n c? ??nh h?u hình,- Nguyên giá,- Giá tr? hao mòn lu? k? (*),2. Tài s?n c? ??nh thuê tài chính,3. Tài s?n c? ??nh vô hình,III. B?t ??ng s?n ??u t?,IV. Tài s?n d? dang dài h?n,"1. Chi phí s?n xu?t, kinh doanh d? dang dài h?n",2. Chi phí xây d?ng c? b?n d? dang,V. ??u t? tài chính dài h?n,1. ??u t? vào công ty con,"2. ??u t? vào công ty liên doanh, liên k?t",3. ??u t? góp v?n vào ??n v? khác,4. D? phòng ??u t? tài chính dài h?n (*),5. ??u t? n?m gi? ??n ngày ?áo h?n,VI. Tài s?n dài h?n khác,1. Chi phí tr? tr??c dài h?n,2. Tài s?n thu? thu nh?p hoãn l?i,"3. Thi?t b?, v?t t?, ph? tùng thay th? dài h?n",4. Tài s?n dài h?n khác,5.L?i th? th??ng m?i,T?NG C?NG TÀI S?N (270 = 100 + 200),C - N? PH?I TR?,I. N? ng?n h?n,1. Ph?i tr? ng??i bán ng?n h?n,2. Ng??i mua tr? ti?n tr??c ng?n h?n,3. Thu? và các kho?n ph?i n?p Nhà n??c,4. Ph?i tr? ng??i lao ??ng,5. Chi phí ph?i tr? ng?n h?n,6. Ph?i tr? n?i b? ng?n h?n,7. Ph?i tr? theo ti?n ?? k? ho?ch h?p ??ng xây d?ng,8. Doanh thu ch?a th?c hi?n ng?n h?n,9. Ph?i tr? ng?n h?n khác,10. Vay và n? thuê tài chính ng?n h?n,11. D? phòng ph?i tr? ng?n h?n,"12. Qu? khen th??ng, phúc l?i",13. Qu? bình ?n giá,14. Giao d?ch mua bán l?i trái phi?u Chính ph?,II. N? dài h?n,1. Ph?i tr? ng??i bán dài h?n,2. Ng??i mua tr? ti?n tr??c dài h?n,3. Chi phí ph?i tr? dài h?n,4. Ph?i tr? n?i b? v? v?n kinh doanh,5. Ph?i tr? n?i b? dài h?n,6. Doanh thu ch?a th?c hi?n dài h?n,7. Ph?i tr? dài h?n khác,8. Vay và n? thuê tài chính dài h?n,9. Trái phi?u chuy?n ??i,10. C? phi?u ?u ?ãi,11. Thu? thu nh?p hoãn l?i ph?i tr?,12. D? phòng ph?i tr? dài h?n,13. Qu? phát tri?n khoa h?c và công ngh?,D - V?N CH? S? H?U,I. V?n ch? s? h?u,1. V?n góp c?a ch? s? h?u,- C? phi?u ph? thông có quy?n bi?u quy?t,- C? phi?u ?u ?ãi,2. Th?ng d? v?n c? ph?n,3. Quy?n ch?n chuy?n ??i trái phi?u,4. V?n khác c?a ch? s? h?u,5. C? phi?u qu? (*),6. Chênh l?ch ?ánh giá l?i tài s?n,7. Chênh l?ch t? giá h?i ?oái,8. Qu? ??u t? phát tri?n,9. Qu? h? tr? s?p x?p doanh nghi?p,10. Qu? khác thu?c v?n ch? s? h?u,11. L?i nhu?n sau thu? ch?a phân ph?i,- LNST ch?a phân ph?i l?y k? ??n cu?i k? tr??c,- LNST ch?a phân ph?i k? này,12. Ngu?n v?n ??u t? XDCB,13. L?i ích c? ?ông không ki?m soát,II. Ngu?n kinh phí và qu? khác,1. Ngu?n kinh phí,2. Ngu?n kinh phí ?ã hình thành TSC?,T?NG C?NG NGU?N V?N (440 = 300 + 400),1. Doanh thu bán hàng và cung c?p d?ch v?,2. Các kho?n gi?m tr? doanh thu,3. Doanh thu thu?n v? bán hàng và cung c?p d?ch v? (10= 01-02),4. Giá v?n hàng bán,5. L?i nhu?n g?p v? bán hàng và cung c?p d?ch v? (20=10 - 11),6. Doanh thu ho?t ??ng tài chính,7. Chi phí tài chính,- Trong ?ó: Chi phí lãi vay,"8. Ph?n lãi l? trong công ty liên doanh, liên k?t",9. Chi phí bán hàng,10. Chi phí qu?n lý doanh nghi?p,11. L?i nhu?n thu?n t? ho?t ??ng kinh doanh {30 = 20 + (21-22)-(25+26) + 24},12. Thu nh?p khác,13. Chi phí khác,14. L?i nhu?n khác (40 = 31 - 32),15. T?ng l?i nhu?n k? toán tr??c thu? (50 = 30 + 40),16. Chi phí thu? TNDN hi?n hành,17. Chi phí thu? TNDN hoãn l?i,18. L?i nhu?n sau thu? thu nh?p doanh nghi?p (60=50 – 51 - 52),19. L?i nhu?n sau thu? công ty m?,20. L?i nhu?n sau thu? công ty m? không ki?m soát,21. Lãi c? b?n trên c? phi?u (*),22. Lãi suy gi?m trên c? phi?u (*),-  Nguyên giá,- Giá tr? hao mòn lu? k?,T?ng c?ng ngu?n v?n (440 = 300 + 400).1
1,Công Ty C? Ph?n Nông Nghi?p Hùng H?u,Báo cáo tài chính - Công ty ??i chúng - Bán niên,437880,2,Bán niên 2020,Báo cáo tài chính h?p nh?t Bán niên N?m tài chính 2020 (01/10/2019 – 31/03/2020) c?a Công Ty C? Ph?n Nông Nghi?p Hùng H?u ???c l?p ngày 14/05/2020.,16/05/2020,642.506.979.332,6.992.364.470,6.992.364.470,,20.830.305.000,,,20.830.305.000,342.358.682.934,335.025.684.294,3.359.843.466,,,,3.973.155.174,,,260.963.484.167,260.963.484.167,,11.362.142.761,3.700.052.792,7.662.089.969,,,,349.776.232.589,6.606.733.160,,,,,,6.606.733.160,,272.344.569.390,149.652.236.391,,,26.752.463.620,95.939.869.379,0,7.317.864.236,,7.317.864.236,34.475.500.000,,900.000.000,31.325.500.000,,2.250.000.000,29.031.565.803,29.031.565.803,,,,,992.283.211.921,698.182.679.179,588.058.473.157,121.813.271.798,2.620.144.669,11.964.273.554,8.076.220.387,,,,13.282.400.000,5.743.111.156,424.559.013.285,,38.308,,,110.124.206.022,19.030.307.500,,,,,,11.854.775.000,79.239.123.522,,,,,,294.100.532.742,294.100.532.742,211.012.440.000,211.012.440.000,,46.428.827.960,,,-10.100.000,,,5.011.297.455,,,31.658.067.327,23.453.779.946,8.204.287.381,,,0,,,992.283.211.921,580.171.374.215,,580.171.374.215,527.401.218.429,52.770.155.786,944.224.881,20.736.800.200,19.602.854.451,,13.266.172.520,9.295.424.804,10.415.983.143,275.242.047,313.014.877,-37.772.830,10.378.210.313,2.173.922.932,,8.204.287.381,8.204.287.381,,369,,,,
2,Công Ty C? Ph?n Nông Nghi?p Hùng H?u,Báo cáo tài chính - Công ty ??i chúng - Bán niên,437865,2,Bán niên 2020,Báo cáo tài chính Bán niên N?m tài chính 2020 (01/10/2019 – 31/03/2020) c?a Công Ty C? Ph?n Nông Nghi?p Hùng H?u ???c l?p ngày 14/05/2020.,16/05/2020,641.286.334.735,6.974.456.331,6.974.456.331,,20.830.305.000,,,20.830.305.000,341.627.427.519,334.969.584.294,3.359.843.466,,,,3.297.999.759,,,260.963.484.167,260.963.484.167,,10.890.661.718,3.700.052.792,7.190.608.926,,,,368.421.232.589,6.606.733.160,,,,,,6.606.733.160,,272.344.569.390,149.652.236.391,,,26.752.463.620,95.939.869.379,0,7.317.864.236,,7.317.864.236,53.120.500.000,19.545.000.000,,31.325.500.000,,2.250.000.000,29.031.565.803,29.031.565.803,,,,,1.009.707.567.324,715.254.583.445,605.130.377.423,140.199.606.524,2.620.144.669,11.162.487.851,8.058.117.887,,,,13.282.400.000,5.248.568.899,424.559.013.285,,38.308,,,110.124.206.022,19.030.307.500,,,,,,11.854.775.000,79.239.123.522,,,,,,294.452.983.879,294.452.983.879,211.012.440.000,211.012.440.000,,46.428.827.960,,,-10.100.000,,,5.011.297.455,,,32.010.518.464,23.141.369.552,8.869.148.912,,,0,,,1.009.707.567.324,580.171.374.215,,580.171.374.215,526.928.337.657,53.243.036.558,944.186.676,20.736.800.200,19.602.854.451,,13.266.172.520,9.072.564.700,11.111.685.814,236.291.138,304.905.108,-68.613.970,11.043.071.844,2.173.922.932,,8.869.148.912,,,,,,,
3,Công ty c? ph?n C? khí ?i?n l?c (PEC),Báo cáo tài chính - Công ty ??i chúng - N?m,437721,1,N?m 2019,Báo cáo tài chính ?ã ki?m toán n?m 2019,15/05/2020,209.939.753.957,194.264.595,194.264.595,,3.000.000.000,,,3.000.000.000,81.026.029.962,63.702.911.252,18.044.778.310,,,,404.853.369,-1.126.512.969,,124.076.504.097,124.076.504.097,,1.642.955.303,,1.642.955.303,,,,37.972.674.288,4.520.269.301,4.520.269.301,,,,,,,1.377.688.559,1.377.688.559,,,0,0,0,0,,,32.059.298.052,,38.099.520.000,1.250.000.000,-7.290.221.948,0,15.418.376,15.418.376,,,,,247.912.428.245,183.230.653.776,168.745.877.018,48.357.728.786,10.205.734.579,8.974.730.676,881.184.627,183.322.878,,,,3.455.107.844,93.473.288.177,0,3.214.779.451,,,14.484.776.758,11.783.090.758,2.201.686.000,,,,,,500.000.000,,,,,,64.681.774.469,64.681.774.469,31.154.090.000,31.154.090.000,0,0,0,8.036.263.497,0,0,0,17.976.229.844,0,0,7.515.191.128,6.446.892.205,1.068.298.923,0,0,,,,247.912.428.245,170.826.080.024,,170.826.080.024,154.996.426.260,15.829.653.764,289.634.212,15.867.901.206,8.537.097.198,,207.211.400,-70.624.431,114.799.801,6.680.361.041,5.419.078.362,1.261.282.679,1.376.082.480,307.783.557,,1.068.298.923,,,343,,,,
4,CTCP Hàng không VietJet,Báo cáo tài chính - Công ty ??i chúng - Quý,437685,3,Quý I/ 2020,VJC - CBTT Báo cáo tài chính H?p nh?t Quý 1/2020,15/05/2020,22.232.501.052.662,2.459.284.982.899,469.706.345.519,1.989.578.637.380,300.000.000.000,990.000.000.000,-690.000.000.000,,18.359.305.350.281,7.659.864.076.913,154.476.621.269,,,508.727.856.000,10.036.236.796.099,,,686.629.885.804,686.629.885.804,,427.280.833.678,312.892.361.615,66.016.548.731,48.371.923.332,,,24.672.632.357.080,14.656.334.734.962,,,,,,14.656.334.734.962,,1.281.682.857.391,1.279.771.483.876,,,0,1.911.373.515,0,1.355.314.286.902,,1.355.314.286.902,215.973.206.218,,,209.417.024.400,,6.556.181.818,7.163.327.271.607,7.163.327.271.607,,,,,46.905.133.409.742,33.151.421.900.886,17.257.461.197.205,3.046.711.198.388,785.912.586.554,304.045.080.457,0,878.862.195.887,,,775.806.480.749,2.697.620.760.559,6.673.511.583.785,2.094.991.310.826,,,,15.893.960.703.681,,,,,,,68.466.392.714,3.719.538.455.348,,,418.122.719.052,11.687.833.136.567,,13.753.711.508.856,13.753.711.508.856,5.416.113.340.000,5.416.113.340.000,,245.949.492.805,,,-2.347.121.362.620,,-94.855.545.930,,,,10.531.268.574.006,11.520.659.436.312,-989.390.862.306,,2.357.010.595,0,,,,7.230.230.374.771,,7.230.230.374.771,8.071.255.537.705,-841.025.162.934,548.458.836.198,313.862.855.309,121.740.414.263,-25.400.184.160,226.849.720.793,112.351.104.948,-971.030.191.946,9.542.213.506,4.279.279.060,5.262.934.446,-965.767.257.500,,23.677.779.082,-989.445.036.582,-989.390.862.306,-54.174.276,-1.85,,30.818.110.655,,46.905.133.409.742
5,CTCP Hàng không VietJet,Báo cáo tài chính - Công ty ??i chúng - Quý,437684,3,Quý I/ 2020,VJC - CBTT Báo cáo tài chính Riêng Quý 1/2020,15/05/2020,17.581.507.424.521,2.452.747.606.915,463.168.969.535,1.989.578.637.380,300.000.000.000,990.000.000.000,-690.000.000.000,,13.714.849.098.124,3.589.467.296.292,154.476.621.269,,,,9.970.905.180.563,,,686.629.885.804,686.629.885.804,,427.280.833.678,312.892.361.615,66.016.548.731,48.371.923.332,,,24.602.284.237.334,14.649.963.467.312,,,,,,14.649.963.467.312,,1.280.535.013.169,1.278.750.271.584,,,0,1.784.741.585,0,1.283.949.818.290,,1.283.949.818.290,224.973.206.218,9.000.000.000,209.417.024.400,6.000.000.000,,556.181.818,7.162.862.732.345,7.162.862.732.345,,,,,42.183.791.661.855,36.693.835.170.794,20.862.704.503.947,3.045.778.409.311,866.777.837.147,302.568.558.503,,855.319.509.107,,,775.806.480.749,6.247.950.814.519,6.673.511.583.785,2.094.991.310.826,,,,15.831.130.666.847,,,,,,,5.636.355.880,3.719.538.455.348,,,418.122.719.052,11.687.833.136.567,,5.489.956.491.061,5.489.956.491.061,5.416.113.340.000,5.416.113.340.000,,245.949.492.805,,,-2.347.121.362.620,,,,,,2.175.015.020.876,3.164.605.883.182,-989.590.862.306,,,0,,,,7.223.829.177.032,,7.223.829.177.032,8.057.397.786.120,-833.568.609.088,548.359.158.924,313.577.985.339,121.740.414.263,,262.685.087.499,109.705.649.117,-971.178.172.119,9.541.649.846,4.276.560.951,5.265.088.895,-965.913.083.224,,23.677.779.082,-989.590.862.306,,,,,29.907.717.155,,42.183.791.661.855
6,CTCP Nhiên li?u Sài Gòn,Báo cáo tài chính - Công ty ??i chúng - Bán niên,437613,2,Bán niên 2020,Báo cáo tài chính gi?a niên ?? ?ã ???c soát xét cho k? tài chính 6 tháng t? ngày 01-10-2019 và k?t thúc vào ngày 31-03-2020,15/05/2020,129.060.801.493,105.293.412.047,17.293.412.047,88.000.000.000,0,,,,9.746.006.999,8.116.848.591,1.171.472.983,,,,832.203.825,-374.518.400,,12.791.161.843,12.791.161.843,,1.230.220.604,1.230.220.604,,,,,146.508.530.044,5.000.000,,,,,,5.000.000,,102.857.746.078,42.237.501.857,41.556.799.362,-7.773.375.154,0,60.620.244.221,33.783.424.208,988.520.359,,988.520.359,6.546.000.000,,10.296.000.000,-3.750.000.000,,,2.327.839.399,978.037.648,1.349.801.751,,,,275.569.331.537,98.832.316.662,85.068.273.913,8.675.583.496,234.146.370,31.315.953.948,1.657.369.303,148.820.466,,,,9.367.980.737,32.414.000.000,,1.254.419.593,,,13.764.042.749,,,,,,,5.540.424.100,,,,,8.223.618.649,,176.737.014.875,176.737.014.875,112.914.590.000,112.914.590.000,,9.220.495.600,,,-1.414.603.444,,,39.398.471.894,,,16.618.060.825,4.321.778.731,12.296.282.094,,,0,,,275.569.331.537,579.745.046.357,43.716.817,579.701.329.540,532.089.700.759,47.611.628.781,2.561.629.323,1.159.855.109,1.159.855.109,,25.442.285.671,6.393.221.071,17.177.896.253,33.619.328,45.690.652,-12.071.324,17.165.824.929,3.734.683.855,-231.394.586,13.662.535.660,,,1.094,,,,
7,CTCP ??i lý GNVT X?p d? Tân C?ng,Báo cáo tài chính - Công ty ??i chúng - Quý,437518,3,Quý I/ 2020,BCTCHN_Q1_2020,15/05/2020,509.209.532.420,85.315.956.009,17.015.956.009,68.300.000.000,210.000.000.000,,,210.000.000.000,201.612.211.836,185.481.967.570,1.509.951.050,,,,14.757.479.885,-137.186.669,,9.178.511.391,9.178.511.391,,3.102.853.184,2.331.881.856,741.013.104,29.958.224,,,601.604.983.700,20.076.714.000,,,,,,20.076.714.000,,389.633.850.255,360.943.674.067,,-2.188.210.245,3.198.153.391,25.492.022.797,,1.612.434.832,,1.612.434.832,153.978.073.320,,119.498.593.320,34.479.480.000,,,36.303.911.293,36.303.911.293,,,,,1.110.814.516.120,319.931.244.912,244.327.657.411,151.124.194.142,316.085.000,8.326.112.913,7.017.303.375,35.493.954.306,,,1.181.818.188,30.005.287.326,8.127.561.732,1.362.351.768,1.372.988.661,,,75.603.587.501,,,,,,2.119.696.949,37.948.346.300,35.535.544.252,,,,,,790.883.271.208,790.883.271.208,301.584.360.000,301.584.360.000,,20.712.126.338,,1.512.000.000,,,,38.789.394.411,,,405.708.747.631,393.479.306.111,12.229.441.520,,22.576.642.828,,,,,247.029.448.197,0,247.029.448.197,207.358.697.191,39.670.751.006,1.777.786.196,543.049.680,543.049.680,630.098.063,3.401.079.786,14.783.080.955,23.351.424.844,670.705.223,10.469.851,660.235.372,24.011.660.216,4.768.542.321,0,19.243.117.895,18.863.070.131,380.047.764,478,478,28.571.911.391,,1.110.814.516.120
8,T?ng công ty Th?y s?n Vi?t Nam - Công ty c? ph?n,Báo cáo tài chính - Công ty ??i chúng - Quý,437401,3,Quý I/ 2020,"T?ng công ty Th?y s?n Vi?t Nam – Công ty c? ph?n (T?ng công ty) xin ???c công b? Báo cáo tài chính H?p nh?t Quý 1 n?m 2020 c?a T?ng công ty theo quy ??nh c?a Thông t? 155/2014/TT-BTC ngày 06/10/2015 c?a B? Tài chính h??ng d?n v? vi?c công b? thông tin trên th? tr??ng ch?ng khoán.
Thông tin này c?ng ?ã ???c ??ng t?i trên website chính th?c c?a T?ng công ty theo ???ng d?n www.seaprodex.vn.",15/05/2020,557.391.368.682,39.478.349.446,14.987.289.843,24.491.059.603,252.087.190.607,11.957.748.143,0,240.129.442.464,139.845.739.203,101.109.571.232,6.249.001.803,0,0,0,38.839.764.352,-19.449.772.285,13.097.174.101,123.456.858.449,128.046.828.091,-4.589.969.642,2.523.230.977,491.644.637,1.980.637.854,50.948.486,0,0,2.677.083.107.999,3.976.372.391,0,0,0,,0,3.976.372.391,0,139.182.365.253,113.266.781.676,,,0,25.915.583.577,0,632.019.405.127,0,632.019.405.127,1.890.665.436.577,,1.759.406.856.170,138.356.750.401,-7.098.169.994,0,11.239.528.651,5.813.589.924,5.425.938.727,0,0,0,3.234.474.476.681,543.894.219.412,498.832.327.312,10.048.858.333,4.227.125.859,17.821.303.768,6.520.359.323,85.647.596.659,0,0,793.581.206,14.510.029.374,356.041.103.363,0,3.222.369.427,0,0,45.061.892.100,0,0,0,0,0,0,19.464.080.000,22.033.735.300,0,0,3.564.076.800,0,0,2.690.580.257.269,2.690.580.257.269,1.250.000.000.000,1.250.000.000.000,0,0,0,22.509.201,-95.950.000,-28.944.791.387,0,19.643.096.792,0,0,1.339.349.019.796,1.278.831.095.710,60.517.924.086,0,110.606.372.867,0,,,,229.075.845.384,26.922.841,229.048.922.543,203.126.781.789,25.922.140.754,6.423.246.456,1.359.784.304,1.247.911.541,50.402.469.237,7.397.802.819,14.351.226.291,59.639.043.033,165.329.225,117.164.053,48.165.172,59.687.208.205,0,,59.687.208.205,60.517.924.086,-830.715.881,484,484,33.271.748.042,,3.234.474.476.681
9,CTCP Minh H?u Liên,Báo cáo tài chính - Công ty ??i chúng - Bán niên,437181,2,Bán niên 2020,báo cáo tài chính bán niên soát xét 2020,14/05/2020,148.607.682.112,6.270.803.637,6.270.803.637,0,0,0,0,0,38.403.096.022,37.785.063.421,673.069.785,0,0,0,1.164.442.263,-1.219.479.447,0,88.962.335.117,88.962.335.117,0,14.971.447.336,2.737.417.642,11.643.102.994,590.926.700,0,0,77.610.418.826,156.000.000,0,0,0,0,0,156.000.000,0,50.811.927.150,50.652.259.597,0,0,0,159.667.553,0,0,0,0,0,0,0,0,0,0,26.642.491.676,26.642.491.676,0,0,0,,226.218.100.938,169.317.709.426,139.197.935.118,48.901.771.223,783.542.418,3.445.762.594,0,0,0,0,0,1.132.208.114,84.809.808.276,0,124.842.493,0,0,30.119.774.308,0,0,0,0,0,0,0,30.119.774.308,0,0,0,0,0,56.900.391.512,56.900.391.512,54.309.230.000,54.309.230.000,0,124.205.820,0,2.294.874.180,-2.294.874.180,0,0,6.423.643.313,0,0,-3.956.687.621,985.756.310,-4.942.443.931,0,0,0,0,,226.218.100.938,190.850.525.459,681.660,190.849.843.799,173.943.550.606,16.906.293.193,368.444.466,5.520.222.920,5.365.083.182,,11.607.492.656,5.113.900.789,-4.966.878.706,25.067.882,633.107,24.434.775,-4.942.443.931,0,,-4.942.443.931,,,-1.067,,,,
10,CTCP ??u t? và phát tri?n công nghi?p B?o Th?,Báo cáo tài chính - Công ty ??i chúng - N?m,437104,1,N?m 2019,CBTT và gi?i trình BCTC H?p nh?t  n?m 2019 Công ty CP ??u t? và Phát tri?n công nghi?p B?o Th? và các công ty con,14/05/2020,263.237.309.003,1.094.662.844,1.094.662.844,,,,,,249.262.985.606,31.026.259.846,74.636.022.183,,,,168.081.362.680,-27.083.115.936,2.602.456.833,7.092.788.863,7.291.009.051,-198.220.188,5.786.871.690,1.404.831,4.078.842.859,1.706.624.000,,,467.950.511.459,153.443.946.400,,218.406.652.321,,,,,-64.962.705.921,69.553.211.833,69.553.211.833,,,,,,211.026.783.861,,211.026.783.861,,,,,,,33.926.569.365,33.926.569.365,,,,,731.187.820.462,212.521.573.751,201.158.006.225,14.325.946.886,291.178.800,14.289.231.962,2.754.033.682,71.863.815.403,,,,41.597.881.444,56.035.918.048,,,,,11.363.567.526,,,,,,,,11.363.567.526,,,,,,518.666.246.711,518.666.246.711,576.800.000.000,576.800.000.000,,,,,,,,,,,-68.697.596.501,29.799.300.668,-98.496.897.169,,10.563.843.212,,,,731.187.820.462,25.496.335.364,3.940.790,25.492.394.574,16.837.259.666,8.655.134.908,659.925,9.789.388.732,9.789.388.732,,201.326.148,92.572.406.816,-93.907.326.863,10.322.407,4.049.842.869,-4.039.520.462,-97.946.847.325,,,-97.946.847.325,-97.098.857.054,-847.990.271,-1.683,-1.683,,,
